Message,Count
B404_blacklist,1282
B110_try_except_pass,1345
B413_blacklist,88
B603_subprocess_without_shell_equals_true,1594
B303_blacklist,383
B105_hardcoded_password_string,1243
B703_django_mark_safe,84
B308_blacklist,89
B310_blacklist,526
B602_subprocess_popen_with_shell_equals_true,468
B607_start_process_with_partial_path,1046
B307_blacklist,818
B311_blacklist,4280
B610_django_extra_used,119
B608_hardcoded_sql_expressions,566
B102_exec_used,331
B101_assert_used,66247
B103_set_bad_file_permissions,47
B410_blacklist,189
B408_blacklist,103
B320_blacklist,84
B405_blacklist,249
B314_blacklist,193
B106_hardcoded_password_funcarg,1015
B506_yaml_load,253
B403_blacklist,1082
B301_blacklist,1132
B108_hardcoded_tmp_directory,632
B605_start_process_with_a_shell,1036
B606_start_process_with_no_shell,71
B318_blacklist,80
B502_ssl_with_bad_version,9
B107_hardcoded_password_default,128
B601_paramiko_calls,40
B112_try_except_continue,106
B104_hardcoded_bind_all_interfaces,232
B701_jinja2_autoescape_false,25
B306_blacklist,35
B201_flask_debug_true,26
B501_request_with_no_cert_validation,167
B702_use_of_mako_templates,10
B323_blacklist,10
B604_any_other_function_with_shell_equals_true,94
B313_blacklist,21
B411_blacklist,26
B402_blacklist,19
B321_blacklist,15
B406_blacklist,36
B325_blacklist,1
B401_blacklist,15
B312_blacklist,16
B324_hashlib,20
B504_ssl_with_no_version,3
B302_blacklist,6
B407_blacklist,2
B316_blacklist,2
B409_blacklist,4
B309_blacklist,8
B505_weak_cryptographic_key,3
B304_blacklist,1
B319_blacklist,2
B611_django_rawsql_used,1
B317_blacklist,7
B412_blacklist,1
