Message,total
W0311-bad-indentation,240055
W0621-redefined-outer-name,10850
C0200-consider-using-enumerate,9476
W0702-bare-except,1517
R1721-unnecessary-comprehension,1967
R0201-no-self-use,36082
R0903-too-few-public-methods,36969
C0121-singleton-comparison,3162
R1707-trailing-comma-tuple,103
C0325-superfluous-parens,18307
W0612-unused-variable,6565
W0622-redefined-builtin,4894
C0209-consider-using-f-string,2851
R1705-no-else-return,11967
C0123-unidiomatic-typecheck,1161
C0301-line-too-long,14114
C0321-multiple-statements,23008
W0123-eval-used,1227
C0206-consider-using-dict-items,886
R1735-use-dict-literal,1448
E0117-nonlocal-without-binding,203
W0105-pointless-string-statement,973
C1803-use-implicit-booleaness-not-comparison,254
R1710-inconsistent-return-statements,2923
R1724-no-else-continue,955
W0301-unnecessary-semicolon,4144
R1714-consider-using-in,1128
E0602-undefined-variable,59745
R1734-use-list-literal,603
R1718-consider-using-set-comprehension,238
W0613-unused-argument,1226
C0201-consider-iterating-dictionary,642
W0101-unreachable,655
W0108-unnecessary-lambda,382
R1703-simplifiable-if-statement,984
R1711-useless-return,253
R0205-useless-object-inheritance,808
W0631-undefined-loop-variable,285
R1729-use-a-generator,232
W0107-unnecessary-pass,327
E1101-no-member,128
E0102-function-redefined,260
C1802-use-implicit-booleaness-not-len,290
R1702-too-many-nested-blocks,575
R0912-too-many-branches,1228
R1719-simplifiable-if-expression,457
R1704-redefined-argument-from-local,232
W0104-pointless-statement,251
W0150-lost-exception,5
E1130-invalid-unary-operand-type,8
E0601-used-before-assignment,51
R0123-literal-comparison,252
R1723-no-else-break,1032
R1728-consider-using-generator,283
C0104-disallowed-name,56
R1726-simplifiable-condition,15
W0231-super-init-not-called,6
W0703-broad-except,56
E0702-raising-bad-type,12
E0611-no-name-in-module,21
W0143-comparison-with-callable,4
W0120-useless-else-on-loop,161
W0201-attribute-defined-outside-init,2304
R0911-too-many-return-statements,390
R0914-too-many-locals,1461
W0106-expression-not-assigned,240
R0913-too-many-arguments,984
R1732-consider-using-with,175
W1514-unspecified-encoding,172
W4701-modified-iterating-list,166
W0102-dangerous-default-value,181
C0207-use-maxsplit-arg,20
W0125-using-constant-test,34
R1706-consider-using-ternary,78
E0213-no-self-argument,90
R1731-consider-using-max-builtin,232
W0632-unbalanced-tuple-unpacking,48
R0916-too-many-boolean-expressions,269
R1716-chained-comparison,1584
W0640-cell-var-from-loop,514
C0208-use-sequence-for-iteration,13
E0104-return-outside-function,510
W1114-arguments-out-of-order,199
W0212-protected-access,48
W0127-self-assigning-variable,127
W1517-cache-max-size-none,43
C0113-unneeded-not,83
R0915-too-many-statements,204
C0204-bad-mcs-classmethod-argument,3
C0203-bad-mcs-method-argument,2
R1730-consider-using-min-builtin,86
R1713-consider-using-join,58
W1306-missing-format-attribute,1
W0235-useless-super-delegation,6
R1712-consider-swap-variables,37
W0641-possibly-unused-variable,12
R0124-comparison-with-itself,16
W0109-duplicate-key,7
R1720-no-else-raise,33
W0511-fixme,85
R0902-too-many-instance-attributes,23
R1708-stop-iteration-return,26
E1305-too-many-format-args,5
E1136-unsubscriptable-object,87
E1137-unsupported-assignment-operation,14
W1505-deprecated-method,131
E1133-not-an-iterable,8
R1717-consider-using-dict-comprehension,17
E1126-invalid-sequence-index,7
E0202-method-hidden,27
W1309-f-string-without-interpolation,56
R1727-condition-evals-to-constant,5
E0107-nonexistent-operator,2
E1128-assignment-from-none,5
R1715-consider-using-get,12
W0707-raise-missing-from,12
C0302-too-many-lines,8
R1733-unnecessary-dict-index-lookup,18
E4702-modified-iterating-dict,30
W1113-keyword-arg-before-vararg,2
E1111-assignment-from-no-return,3
R1725-super-with-arguments,5
E1310-bad-str-strip-call,5
W0642-self-cls-assignment,8
R1709-simplify-boolean-expression,6
R1701-consider-merging-isinstance,19
E0211-no-method-argument,9
W0601-global-variable-undefined,1
E1102-not-callable,6
E1135-unsupported-membership-test,14
W0602-global-variable-not-assigned,10
W0603-global-statement,7
E0704-misplaced-bare-raise,5
W1406-redundant-u-string-prefix,2
R1722-consider-using-sys-exit,6
W1512-deprecated-class,6
W1310-format-string-without-interpolation,3
E0307-invalid-str-returned,2
E1120-no-value-for-parameter,21
W0128-redeclared-assigned-name,1
W0122-exec-used,6
E1121-too-many-function-args,6
E0101-return-in-init,4
W0238-unused-private-member,3
E0111-bad-reversed-sequence,1
W0223-abstract-method,6
W1308-duplicate-string-formatting-argument,8
W2301-unnecessary-ellipsis,1
E0711-notimplemented-raised,1
C0202-bad-classmethod-argument,5
W1307-invalid-format-index,5
W0221-arguments-differ,1
E0203-access-member-before-definition,4
W1510-subprocess-run-check,1
W0711-binary-op-exception,1
