Message,total
C0301-line-too-long,59969
E0602-undefined-variable,753599
W0311-bad-indentation,1518634
W0622-redefined-builtin,6846
W1514-unspecified-encoding,6794
R0914-too-many-locals,7275
R1716-chained-comparison,447
R1714-consider-using-in,1196
W0613-unused-argument,22334
C0209-consider-using-f-string,92050
W0703-broad-except,5069
W0212-protected-access,182103
C0206-consider-using-dict-items,388
R0912-too-many-branches,4658
R1729-use-a-generator,569
W0640-cell-var-from-loop,282
R1705-no-else-return,17586
R1710-inconsistent-return-statements,6163
R0911-too-many-return-statements,930
R1732-consider-using-with,2603
R1701-consider-merging-isinstance,408
R0913-too-many-arguments,12839
R1722-consider-using-sys-exit,377
W0612-unused-variable,10399
R1735-use-dict-literal,1750
C0200-consider-using-enumerate,1126
W0602-global-variable-not-assigned,542
R1702-too-many-nested-blocks,862
R1723-no-else-break,409
W0702-bare-except,2627
C0201-consider-iterating-dictionary,292
R1734-use-list-literal,1314
R0903-too-few-public-methods,384
W0621-redefined-outer-name,3358
W0511-fixme,5556
W0707-raise-missing-from,8037
R0205-useless-object-inheritance,112
C0123-unidiomatic-typecheck,2365
R1725-super-with-arguments,96
C0203-bad-mcs-method-argument,2
W0105-pointless-string-statement,1371
W0108-unnecessary-lambda,361
W0631-undefined-loop-variable,618
C1802-use-implicit-booleaness-not-len,495
W0123-eval-used,285
E0402-relative-beyond-top-level,1197
R1717-consider-using-dict-comprehension,360
R1718-consider-using-set-comprehension,483
W0102-dangerous-default-value,2274
E0102-function-redefined,40
R1720-no-else-raise,2531
R0916-too-many-boolean-expressions,141
R1721-unnecessary-comprehension,870
C0325-superfluous-parens,3843
W1401-anomalous-backslash-in-string,5088
C0321-multiple-statements,4890
R1707-trailing-comma-tuple,144
W0122-exec-used,144
R1719-simplifiable-if-expression,332
R0915-too-many-statements,766
R1728-consider-using-generator,226
W1406-redundant-u-string-prefix,6517
E0012-bad-option-value,206
E0601-used-before-assignment,445
R1704-redefined-argument-from-local,625
W1113-keyword-arg-before-vararg,465
E1101-no-member,1553
C0121-singleton-comparison,1949
R1731-consider-using-max-builtin,167
W0706-try-except-raise,275
W0601-global-variable-undefined,1299
R1711-useless-return,793
C0207-use-maxsplit-arg,70
W0101-unreachable,182
R0123-literal-comparison,651
E1120-no-value-for-parameter,222
C1803-use-implicit-booleaness-not-comparison,87
R1724-no-else-continue,653
E1135-unsupported-membership-test,20
