Message,Count
E0602-undefined-variable,121
W0612-unused-variable,24
W0101-unreachable,3
R1710-inconsistent-return-statements,35
C0301-line-too-long,58
W0621-redefined-outer-name,3
C0209-consider-using-f-string,8
R1705-no-else-return,13
W0511-fixme,4
W0613-unused-argument,118
W0212-protected-access,1
E1136-unsubscriptable-object,4
R0801-duplicate-code,2
C0325-superfluous-parens,2
R1716-chained-comparison,2
C0321-multiple-statements,3
W0104-pointless-statement,9
R1707-trailing-comma-tuple,2
E0601-used-before-assignment,4
R1714-consider-using-in,1
C0200-consider-using-enumerate,1
W0127-self-assigning-variable,2
R1734-use-list-literal,1
W0631-undefined-loop-variable,1
R1735-use-dict-literal,1
R1704-redefined-argument-from-local,2
W0105-pointless-string-statement,1
R0916-too-many-boolean-expressions,1
R1727-condition-evals-to-constant,1
E1111-assignment-from-no-return,1
E1120-no-value-for-parameter,1
E1306-too-few-format-args,2
E1121-too-many-function-args,1
C1802-use-implicit-booleaness-not-len,1
E1101-no-member,2
