Message,Count
C0301-line-too-long,20
W0613-unused-argument,102
E0602-undefined-variable,134
W0311-bad-indentation,12
W0622-redefined-builtin,2
E0104-return-outside-function,35
W0104-pointless-statement,22
W0101-unreachable,24
W0105-pointless-string-statement,46
E0102-function-redefined,2
W0301-unnecessary-semicolon,6
W0621-redefined-outer-name,10
E0601-used-before-assignment,7
E1120-no-value-for-parameter,3
C0325-superfluous-parens,1
E1101-no-member,1
W0410-misplaced-future,1
E1111-assignment-from-no-return,2
